# x_m, y_m, w_tr_right_m, w_tr_left_m
# levine centerline (one frame for every levine map), 499 points, 61.78 m, counter-clockwise; finish line = first point. Source: lev_blocked_source.csv; widths measured from the map by autograder/labs/lab3/make_centerline.py
0.0310, -0.0691, 0.9750, 0.7000
0.1550, -0.0680, 0.9750, 0.7000
0.2792, -0.0671, 0.9750, 0.7000
0.4035, -0.0663, 0.9750, 0.7000
0.5279, -0.0656, 0.9750, 0.7000
0.6523, -0.0649, 0.9750, 0.7000
0.7769, -0.0643, 0.9750, 0.7000
0.9015, -0.0638, 0.9750, 0.7000
1.0263, -0.0634, 0.9750, 0.7000
1.1511, -0.0630, 0.9750, 0.7000
1.2760, -0.0627, 0.9750, 0.7000
1.4010, -0.0624, 0.9750, 0.7000
1.5261, -0.0622, 0.9750, 0.7000
1.6512, -0.0620, 0.9750, 0.7000
1.7765, -0.0618, 0.9750, 0.7000
1.9018, -0.0616, 0.9750, 0.7000
2.0271, -0.0614, 0.9750, 0.7000
2.1526, -0.0613, 0.9750, 0.7000
2.2781, -0.0611, 0.9750, 0.7000
2.4037, -0.0609, 0.9750, 0.7000
2.5293, -0.0607, 0.9750, 0.7000
2.6550, -0.0604, 0.9750, 0.7000
2.7808, -0.0602, 0.9750, 0.7000
2.9066, -0.0598, 0.9750, 0.7000
3.0325, -0.0595, 0.9750, 0.7000
3.1584, -0.0590, 0.9750, 0.7000
3.2843, -0.0585, 0.9750, 0.7000
3.4104, -0.0580, 0.9750, 0.7000
3.5364, -0.0573, 0.9750, 0.7000
3.6625, -0.0566, 0.9750, 0.7000
3.7887, -0.0557, 0.9750, 0.7000
3.9149, -0.0548, 0.9750, 0.7000
4.0411, -0.0538, 0.9750, 0.7000
4.1673, -0.0526, 0.9750, 0.7000
4.2936, -0.0513, 0.9750, 0.7000
4.4199, -0.0499, 1.0000, 0.6750
4.5463, -0.0484, 1.0000, 0.6750
4.6726, -0.0467, 1.0000, 0.6750
4.7990, -0.0448, 1.0000, 0.6750
4.9254, -0.0428, 1.0000, 0.6750
5.0518, -0.0406, 1.0000, 0.6750
5.1783, -0.0383, 1.0000, 0.6750
5.3047, -0.0357, 1.0000, 0.6750
5.4312, -0.0330, 1.0000, 0.6750
5.5576, -0.0301, 1.0000, 0.6750
5.6841, -0.0270, 1.0000, 0.6750
5.8106, -0.0237, 1.0250, 0.6500
5.9371, -0.0201, 1.0250, 0.6500
6.0636, -0.0163, 1.0250, 0.6500
6.1901, -0.0123, 1.0250, 0.6500
6.3165, -0.0081, 1.0250, 0.6500
6.4430, -0.0036, 1.0250, 0.6500
6.5695, 0.0012, 1.0500, 0.6250
6.6959, 0.0062, 1.0500, 0.6250
6.8224, 0.0114, 1.0500, 0.6250
6.9488, 0.0170, 1.0500, 0.6250
7.0752, 0.0228, 1.0500, 0.6250
7.2016, 0.0289, 1.0750, 0.6000
7.3279, 0.0354, 1.0750, 0.6000
7.4543, 0.0421, 1.0750, 0.6000
7.5806, 0.0491, 1.1000, 0.6000
7.7068, 0.0565, 1.1000, 0.5750
7.8331, 0.0642, 1.1000, 0.5750
7.9593, 0.0722, 1.1000, 0.5750
8.0853, 0.0807, 1.1250, 0.5500
8.2107, 0.0901, 1.1250, 0.5500
8.3349, 0.1009, 1.1500, 0.5500
8.4575, 0.1136, 1.1500, 0.5250
8.5780, 0.1286, 1.1750, 0.5250
8.6959, 0.1463, 1.2500, 0.5000
8.8107, 0.1672, 1.3250, 0.4750
8.9220, 0.1918, 1.3750, 0.4500
9.0292, 0.2205, 1.4250, 0.4250
9.1318, 0.2539, 1.4750, 0.6250
9.2294, 0.2923, 1.5500, 0.7750
9.3216, 0.3362, 1.6750, 0.8750
9.4077, 0.3861, 1.8000, 0.9000
9.4873, 0.4424, 1.7750, 0.9250
9.5600, 0.5056, 1.4750, 0.9250
9.6252, 0.5762, 1.2500, 0.9250
9.6828, 0.6542, 1.0750, 0.9250
9.7333, 0.7393, 0.9750, 0.9250
9.7770, 0.8310, 0.8750, 0.9500
9.8145, 0.9288, 0.8250, 0.9500
9.8463, 1.0322, 0.7750, 0.9750
9.8728, 1.1407, 0.7250, 0.9750
9.8946, 1.2539, 0.7000, 1.0000
9.9120, 1.3712, 0.6750, 1.0000
9.9257, 1.4923, 0.6750, 1.0250
9.9360, 1.6165, 0.6500, 1.0250
9.9436, 1.7434, 0.6500, 1.0250
9.9487, 1.8726, 0.6500, 1.0250
9.9520, 2.0035, 0.5750, 1.0500
9.9539, 2.1357, 0.5750, 1.0500
9.9549, 2.2687, 0.5750, 1.0500
9.9554, 2.4019, 0.5750, 1.0500
9.9558, 2.5353, 0.5750, 1.0500
9.9560, 2.6686, 0.5750, 1.0500
9.9560, 2.8020, 0.5750, 1.0500
9.9559, 2.9354, 0.5750, 1.0500
9.9557, 3.0687, 0.5750, 1.0500
9.9552, 3.2021, 0.5750, 1.0500
9.9546, 3.3354, 0.5750, 1.0500
9.9538, 3.4688, 0.5750, 1.0500
9.9529, 3.6020, 0.5750, 1.0500
9.9518, 3.7352, 0.5750, 1.0500
9.9505, 3.8684, 0.5750, 1.0500
9.9491, 4.0015, 0.6000, 1.0250
9.9475, 4.1345, 0.6000, 1.0250
9.9458, 4.2674, 0.6000, 1.0250
9.9438, 4.4002, 0.6000, 1.0250
9.9417, 4.5329, 0.6000, 1.0250
9.9395, 4.6655, 0.6000, 1.0250
9.9370, 4.7980, 0.6000, 1.0250
9.9344, 4.9303, 0.6000, 1.0250
9.9316, 5.0625, 0.6000, 1.0250
